"Ad set name",Age,Gender,"Ad name","Campaign name",Day,"Delivery status","Delivery level","Ad set name","Amount spent (USD)","Result Type","Cost per result","CPM (cost per 1,000 impressions)",Reach,"hook rate","hold rate","Video average play time","CTR (link click-through rate)","Link clicks","CPC (cost per link click)","Adds to cart","Website adds to cart","Cost per add to cart","Checkouts initiated","Website checkouts initiated","Cost per checkout initiated",Purchases,"Website purchases","Cost per purchase","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)",Frequency,"Reporting starts","Reporting ends"
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.08,,,80,1,0,,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",45-54,female,"Ad 5 - Hook 2 – Copy - Aging - Listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.11,,,110,1,0,,1,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",65+,female,"Ad 5 - Hook 2 – Copy - Aging - Listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.44,,,110,4,0.25,0,2,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",55-64,female,"Ad 5 - Hook 2 – Copy - Aging - Listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0,,,0,1,1,0,8,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",65+,female,"ageugc4-long – Copy - Listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.08,,,80,1,1,0,12,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",45-54,female,"re1 – listicle – Copy - control","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.81,,,62.30769231,13,0.61538462,0.125,10,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",1.59,,,93.52941176,15,0.76470588,0.30769231,11,5.88235294,1,1.59,,,,,,,,,,,,1.13333333,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",2.18,,,99.09090909,22,0.72727273,0.3125,19,4.54545455,1,2.18,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",3,,,272.72727273,10,0.54545455,0.33333333,38,9.09090909,1,3,,,,,,,,,,,,1.1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-08,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.61,,,152.5,4,0.5,0,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-08,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.24,,,48,5,0.6,0.33333333,10,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,"re1 – listicle","RLB | MAIN | US | Philippians 4:13",2025-08-08,inactive,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.06,,,60,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 2 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.06,,,30,1,0.5,0,4,,,,,,,,,,,,,,,2,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,male,ageugc2-long,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.01,,,10,1,1,1,16,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageugc4-long,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.06,,,60,1,1,0,8,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",45-54,female,"Ad 1 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.41,,,410,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 4 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.23,,,76.66666667,3,1,0.66666667,16,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",25-34,female,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.12,,,120,1,0,,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 1 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.14,,,140,1,1,0,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",45-54,female,ageugc3-long,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.43,,,430,1,1,0,10,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,male,"Ad 1 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.17,,,170,1,1,1,30,100,1,0.17,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",35-44,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.03,,,30,1,0,,,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",3.36,,,67.2,42,0.46,0.34782609,9,4,2,1.68,,,,,,,,,,,,1.19047619,2025-08-08,2025-08-08
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageugc3-long,"RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.75,,,250,3,0.66666667,1,28,33.33333333,1,0.75,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",13.21,,,121.19266055,95,0.53211009,0.36206897,12,6.42201835,7,1.88714286,5,5,2.642,,,,,,,,,1.14736842,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 1 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.4,,,200,2,0.5,1,9,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.15,,,75,2,0.5,0,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",1.73,,,346,5,1,0.2,10,20,1,1.73,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.11,,,110,1,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",17.82,,,200.2247191,81,0.57303371,0.47058824,15,13.48314607,12,1.485,2,2,8.91,1,1,17.82,,,,,,1.09876543,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.12,,,30,4,0,,1,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",15.12,,,118.125,115,0.5625,0.43055556,15,5.46875,7,2.16,,,,,,,,,,,,1.11304348,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",1.59,,,159,8,0.3,0.33333333,9,,,,,,,,,,,,,,,1.25,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.59,,,98.33333333,6,0.33333333,0.5,10,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.01,,,10,1,1,1,15,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.59,,,295,2,1,0,10,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-08,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.08,,,40,1,0,,2,,,,,,,,,,,,,,,2,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 1 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.22,,,110,2,0,,2,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.01,,,10,1,0,,3,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 5 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.11,,,110,1,1,0,10,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,male,"Ad 4 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.03,,,30,1,1,0,14,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",55-64,female,"Ad 1 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",3.2,,,320,10,0.5,0.4,26,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 1 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",0.51,,,85,6,0.5,0.33333333,7,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 5 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",1.8,,,300,5,0.66666667,0.25,12,,,,,,,,,,,,,,,1.2,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",65+,female,"Ad 5 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.92,,,92,8,0.6,0.5,9,10,1,0.92,,,,,,,,,,,,1.25,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",35-44,female,"Ad 5 - Hook 2","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.01,,,5,1,0,,1,,,,,,,,,,,,,,,2,2025-08-08,2025-08-08
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 5 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.76,,,380,1,0.5,1,32,50,1,0.76,,,,,,,,,,,,2,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",65+,female,"Ad 4 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",1.13,,,565,2,1,0,7,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
"RLT | Age | Set 2 | PDP Test | Aug 6",45-54,female,"Ad 1 - Hook 3","RLB | MAIN | US | Philippians 4:13",2025-08-08,not_delivering,ad,"RLT | Age | Set 2 | PDP Test | Aug 6",1.07,,,133.75,8,0.5,0.25,5,,,,,,,,,,,,,,,1,2025-08-08,2025-08-08
